Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2026-01-01 08:00:00,0,A200,0,A150,261.31,USD,261.31,USD,ACH,0
2026-01-01 08:00:00,1,A241,4,A169,976.82,USD,976.82,USD,ACH,0
2026-01-01 08:01:00,1,A1,3,A218,143.19,USD,143.19,USD,ACH,0
2026-01-01 08:03:00,1,A21,2,A182,331.4,USD,331.4,USD,ACH,0
2026-01-01 08:03:00,2,A157,3,A38,256.63,USD,256.63,USD,ACH,0
2026-01-01 08:06:00,1,A171,1,A291,187.1,USD,187.1,USD,ACH,0
2026-01-01 08:08:00,4,A189,1,A1,605.82,USD,605.82,USD,ACH,0
2026-01-01 08:09:00,2,A142,4,A224,1097.39,USD,1097.39,USD,ACH,0
2026-01-01 08:10:00,0,A250,1,A21,243.08,USD,243.08,USD,ACH,0
2026-01-01 08:11:00,4,A109,1,A246,191.33,USD,191.33,USD,ACH,0
2026-01-01 08:11:00,4,A109,4,A289,1675.99,USD,1675.99,USD,ACH,0
2026-01-01 08:13:00,1,A206,3,A68,679.86,USD,679.86,USD,ACH,0
2026-01-01 08:14:00,0,A205,1,A176,979.78,USD,979.78,USD,ACH,0
2026-01-01 08:15:00,2,A12,0,A135,113.52,USD,113.52,USD,ACH,0
2026-01-01 08:15:00,3,A253,1,A276,140.16,USD,140.16,USD,ACH,0
2026-01-01 08:17:00,4,A194,2,A292,251.29,USD,251.29,USD,ACH,0
2026-01-01 08:20:00,4,A84,4,A99,603.82,USD,603.82,USD,ACH,0
2026-01-01 08:21:00,2,A292,3,A183,516.39,USD,516.39,USD,ACH,0
2026-01-01 08:23:00,1,A246,2,A217,1216.67,USD,1216.67,USD,ACH,0
2026-01-01 08:24:00,3,A268,2,A247,923.57,USD,923.57,USD,ACH,0
2026-01-01 08:25:00,1,A291,2,A197,544.47,USD,544.47,USD,ACH,0
2026-01-01 08:26:00,2,A67,3,A148,425.67,USD,425.67,USD,ACH,0
2026-01-01 08:27:00,4,A259,0,A250,753.26,USD,753.26,USD,ACH,0
2026-01-01 08:27:00,1,A281,4,A229,471.2,USD,471.2,USD,ACH,0
2026-01-01 08:30:00,2,A102,3,A118,618.27,USD,618.27,USD,ACH,0
2026-01-01 08:32:00,1,A21,2,A102,145.57,USD,145.57,USD,ACH,0
2026-01-01 08:32:00,1,A201,3,A48,857.21,USD,857.21,USD,ACH,0
2026-01-01 08:35:00,1,A171,2,A242,1259.33,USD,1259.33,USD,ACH,0
2026-01-01 08:35:00,4,A184,3,A173,288.88,USD,288.88,USD,ACH,0
2026-01-01 08:37:00,2,A247,0,A285,243.74,USD,243.74,USD,ACH,0
2026-01-01 08:39:00,1,A266,3,A43,539.02,USD,539.02,USD,ACH,0
2026-01-01 08:40:00,1,A136,2,A77,358.97,USD,358.97,USD,ACH,0
2026-01-01 08:42:00,0,A25,1,A296,694.73,USD,694.73,USD,ACH,0
2026-01-01 08:48:00,2,A187,2,A2,217.71,USD,217.71,USD,ACH,0
2026-01-01 08:51:00,1,A6,4,A124,329.43,USD,329.43,USD,ACH,0
2026-01-01 08:55:00,2,A237,0,A235,1688.66,USD,1688.66,USD,ACH,0
2026-01-01 09:00:00,1,A221,2,A142,145.54,USD,145.54,USD,ACH,0
2026-01-01 09:01:00,3,A133,1,A136,55.93,USD,55.93,USD,ACH,0
2026-01-01 09:01:00,4,A224,2,A247,1201.28,USD,1201.28,USD,ACH,0
2026-01-01 09:02:00,3,A153,3,A168,230.88,USD,230.88,USD,ACH,0
2026-01-01 09:02:00,0,A265,0,A135,990.82,USD,990.82,USD,ACH,0
2026-01-01 09:03:00,2,A17,0,A45,412.82,USD,412.82,USD,ACH,0
2026-01-01 09:03:00,2,A282,4,A104,224.62,USD,224.62,USD,ACH,0
2026-01-01 09:05:00,1,A106,4,A49,1036.84,USD,1036.84,USD,ACH,0
2026-01-01 09:05:00,1,A141,1,A6,201.67,USD,201.67,USD,ACH,0
